iter	MAPE	RMSE
0	4.510615447	156.2259488
1	4.42393765	154.4224937
2	4.344111277	152.6571673
3	4.274950561	151.0748991
4	4.23539057	149.8002203
5	4.218174927	149.2200441
6	4.158186859	147.504187
7	4.075121763	145.7096604
8	4.014353798	144.1274393
9	3.972747738	142.6049388
10	3.961317101	142.0605059
11	3.91108483	140.8736474
12	3.90242419	140.3587981
13	3.838249581	138.673563
14	3.798283536	137.7798863
15	3.73668507	136.3433869
16	3.678913697	134.9003603
17	3.675507094	134.4594977
18	3.624342667	132.7546787
19	3.606348157	132.1479374
20	3.558278376	130.9310387
21	3.552029235	130.5280922
22	3.4919533	128.9845052
23	3.449212416	127.5667125
24	3.416110183	126.2629414
25	3.413199001	125.8630189
26	3.4098582	125.47562
27	3.371779448	124.5863163
28	3.326390478	123.6628472
29	3.311561205	123.1312354
30	3.257886714	121.4790248
31	3.241539213	120.9716216
32	3.230698735	120.569283
33	3.216413822	120.1125728
34	3.204203314	119.6485152
35	3.195895551	119.2171585
36	3.195642382	118.9430533
37	3.152376364	117.6535199
38	3.143035526	117.19514
39	3.115632587	116.1548477
40	3.075399861	115.2938688
41	3.039243806	114.4904908
42	3.017619279	113.766141
43	3.01330996	113.459994
44	3.007285411	113.1561533
45	2.997765859	112.7272939
46	2.994603149	112.4458955
47	2.961974501	111.4023842
48	2.929949596	110.4371834
49	2.90680521	109.6409698
50	2.900279535	109.3243691
51	2.897813949	109.0459733
52	2.898568199	108.8094422
53	2.886811813	108.4697447
54	2.869890551	107.6909122
55	2.852565634	107.1725592
56	2.8232598	106.2033326
57	2.795741174	105.5290583
58	2.762080261	104.5133576
59	2.761176514	104.251422
60	2.726081141	103.4679441
61	2.703632898	102.851764
62	2.679340642	102.3505058
63	2.658229934	101.446492
64	2.656206559	101.2142865
65	2.644916608	100.7991437
66	2.641660535	100.5329635
67	2.615546986	99.79156954
68	2.589984547	98.68864516
69	2.580808063	98.38799423
70	2.555028112	97.51371881
71	2.555153116	97.29706741
72	2.535685621	96.68511878
73	2.502045047	95.76036804
74	2.480988287	94.82761686
75	2.483113173	94.6037771
76	2.469357637	94.23985114
77	2.455371693	93.8813538
78	2.453780703	93.69490316
79	2.430520052	93.26468866
80	2.43139838	93.05412251
81	2.414148299	92.66490585
82	2.410648396	92.46620075
83	2.407972661	92.28334905
84	2.398854436	91.82784383
85	2.374132218	91.0445772
86	2.372982821	90.84649857
87	2.361080199	90.48934491
88	2.354384	90.2671441
89	2.354069601	90.10428577
90	2.347751742	89.79961774
91	2.335264461	89.44185376
92	2.310801236	88.7908872
93	2.281518486	87.91728458
94	2.277952925	87.68131646
95	2.267099828	87.12819434
96	2.243539629	86.60941114
97	2.225387102	86.18859635
98	2.199961943	85.42286507
99	2.19522788	85.14667885
100	2.178430134	84.84226871
101	2.176686289	84.70631869
102	2.150231371	84.17493317
103	2.144995746	83.84975146
104	2.121721323	83.18277498
105	2.097775869	82.66453515
106	2.09087719	82.37562684
107	2.084960492	82.20042513
108	2.087626765	81.86125723
109	2.079634842	81.37447637
110	2.058421273	80.86814889
111	2.043768969	80.532808
112	2.03625557	80.19553974
113	2.026788794	79.95501811
114	2.003157689	79.52438378
115	1.993972829	79.31005796
116	1.982298316	78.93881429
117	1.978951544	78.79574953
118	1.977539534	78.66983666
119	1.974428084	78.53141957
120	1.971272031	78.35707552
121	1.942061781	77.56905898
122	1.925098708	77.05637091
123	1.925804887	76.91127966
124	1.91718081	76.51124981
125	1.917123844	76.40434296
126	1.90793541	76.11197617
127	1.906963233	75.98877683
128	1.908162466	75.88447884
129	1.904647632	75.70724614
130	1.893824814	75.21880429
131	1.884324975	74.91153124
132	1.881571663	74.79364425
133	1.870377214	74.62386133
