iter	Passed	Remaining
0	0	547
1	0	580
2	0	575
3	1	505
4	1	515
5	1	545
6	2	615
7	2	619
8	3	716
9	3	699
10	4	683
11	4	653
12	4	636
13	5	644
14	5	669
15	6	675
16	6	663
17	6	664
18	7	656
19	7	656
20	8	693
21	8	678
22	8	687
23	9	685
24	9	678
25	9	672
26	10	672
27	10	673
28	10	664
29	11	658
30	11	672
31	12	664
32	12	651
33	12	640
34	12	640
35	12	634
36	13	627
37	13	624
38	13	621
39	14	616
40	14	611
41	14	604
42	14	599
43	14	595
44	15	591
45	15	589
46	16	596
47	16	603
48	17	611
49	17	608
50	17	615
51	18	611
52	18	606
53	18	600
54	18	597
55	19	596
56	19	604
57	20	604
58	20	600
59	20	601
60	20	598
61	21	594
62	21	593
63	21	588
64	21	584
65	22	592
66	22	593
67	23	593
68	23	592
69	24	598
70	24	596
71	25	600
72	25	611
73	26	610
74	26	608
75	27	618
76	27	617
77	28	619
78	28	628
79	29	631
80	29	629
81	29	627
82	30	631
83	30	630
84	31	626
85	31	623
86	31	621
87	31	620
88	32	619
89	32	616
90	32	614
91	33	615
92	33	613
93	33	616
94	34	614
95	34	615
96	35	616
97	35	613
98	35	614
99	36	614
100	36	614
101	36	613
102	37	614
103	37	613
104	37	612
105	38	612
106	38	612
107	39	612
108	39	611
109	39	609
110	39	607
111	40	606
112	40	606
113	41	607
114	41	609
115	41	607
116	42	606
117	42	604
118	42	603
119	43	603
120	43	603
121	43	603
122	44	601
123	44	600
124	44	598
125	44	597
126	45	596
127	45	596
128	45	595
129	46	594
130	46	595
131	47	594
132	47	593
133	47	593
134	47	591
135	48	590
136	48	588
137	49	590
138	49	589
139	49	589
140	50	588
141	50	589
142	50	589
143	51	588
144	51	588
145	51	587
146	52	588
147	52	588
148	53	587
149	53	589
150	54	590
151	54	592
152	54	591
153	55	596
154	56	600
155	56	599
156	57	599
157	57	599
158	58	598
159	58	600
160	59	608
161	60	610
162	60	609
163	61	609
164	61	607
165	61	606
166	61	604
167	62	603
168	62	602
169	62	601
170	63	600
171	63	599
172	63	600
173	64	599
174	64	597
175	64	596
176	64	595
177	65	595
178	65	595
179	66	595
180	66	599
181	67	599
182	67	600
183	68	599
184	68	597
185	68	598
186	69	597
187	69	597
188	70	597
189	70	595
190	70	594
191	70	593
192	71	592
193	71	591
194	71	591
195	72	590
196	72	589
197	72	590
198	73	589
199	73	588
200	73	588
201	74	588
202	74	587
203	74	586
204	75	585
205	75	584
206	75	584
207	76	584
208	76	583
209	77	584
210	77	583
211	77	583
212	78	583
213	78	583
214	79	583
215	79	582
216	79	581
217	80	580
218	80	580
219	80	579
220	81	580
221	81	579
222	81	578
223	82	578
224	82	577
225	83	579
226	83	578
227	84	579
228	84	582
229	85	581
230	85	581
231	86	582
232	86	581
233	86	580
234	87	580
235	87	579
236	87	579
237	88	578
238	88	580
239	89	580
240	89	579
241	89	578
242	90	577
243	90	577
244	90	577
245	91	577
246	91	576
247	91	575
248	92	574
249	92	573
250	92	572
251	93	571
252	93	570
253	93	570
254	94	570
255	94	569
256	94	568
257	95	568
258	95	568
259	96	568
260	96	568
261	97	570
262	97	569
263	97	569
264	98	568
265	98	568
266	98	567
267	99	566
268	99	565
269	99	565
270	100	566
271	100	565
272	101	565
273	101	565
274	101	565
275	102	564
276	102	563
277	103	564
278	103	564
279	103	563
280	104	562
281	104	561
282	104	561
283	104	560
284	105	559
285	105	559
286	106	560
287	106	559
288	106	558
289	107	557
290	107	557
291	107	556
292	107	555
293	108	554
294	108	555
295	109	554
296	109	554
297	110	556
298	110	556
299	111	555
300	111	555
301	111	554
302	112	553
303	112	552
304	112	552
305	112	551
306	113	550
307	113	550
308	113	549
309	114	549
310	114	549
311	114	548
312	115	547
313	115	546
314	115	546
315	116	545
316	116	546
317	117	546
318	117	545
319	118	547
320	118	546
321	119	548
322	119	547
323	120	547
324	120	548
325	121	547
326	121	547
327	122	548
328	122	548
329	122	547
330	123	546
331	123	546
332	124	546
333	124	546
334	124	546
335	125	545
336	125	546
337	127	550
338	127	549
339	127	549
340	128	549
341	128	549
342	129	549
343	129	548
344	130	548
345	130	547
346	130	547
347	131	546
348	131	546
349	131	546
350	132	545
351	132	545
352	133	545
353	133	545
354	133	544
355	134	544
356	134	544
357	134	543
358	135	542
359	135	542
360	135	541
361	136	543
362	137	543
363	137	542
364	137	541
365	138	543
366	139	542
367	139	542
368	139	541
369	140	541
370	140	541
371	140	541
372	141	541
373	141	540
374	142	541
375	142	540
376	143	540
377	143	540
378	143	539
379	144	540
380	144	539
381	145	540
382	145	539
383	146	539
384	146	538
385	147	538
386	147	537
387	147	537
388	148	537
389	148	536
390	148	535
391	149	535
392	149	535
393	149	534
394	150	534
395	150	533
396	150	533
397	151	532
398	151	532
399	152	532
400	152	531
401	152	531
402	153	530
403	153	530
404	154	532
405	154	531
406	155	531
407	155	531
408	156	531
409	156	530
410	156	530
411	157	530
412	158	530
413	158	531
414	159	531
415	159	530
416	159	530
417	160	529
418	160	528
419	160	528
420	161	528
421	161	528
422	162	528
423	163	528
424	163	528
425	163	527
426	163	527
427	164	526
428	164	526
429	165	526
430	165	526
431	166	525
432	166	525
433	166	524
434	167	524
435	167	523
436	167	523
437	168	523
438	168	523
439	168	522
440	169	521
441	169	521
442	169	520
443	170	520
444	170	519
445	171	519
446	171	519
447	172	519
448	172	518
449	172	518
450	173	517
451	173	516
452	174	517
453	174	517
454	174	516
455	175	516
456	175	515
457	176	515
458	176	515
459	176	515
460	177	514
461	177	514
462	177	513
463	178	513
464	178	513
465	179	512
466	179	512
467	179	511
468	180	511
469	180	511
470	180	510
471	181	510
472	181	510
473	182	509
474	182	508
475	182	508
476	182	507
477	183	507
478	183	506
479	183	505
480	184	505
481	184	505
482	185	504
483	185	504
484	186	504
485	186	504
486	186	503
487	187	503
488	187	503
489	187	502
490	188	501
491	188	501
492	188	500
493	189	500
494	189	500
495	190	499
496	190	498
497	190	498
498	191	498
499	191	497
500	191	497
501	192	497
502	192	496
503	192	496
504	193	496
505	193	495
506	194	496
507	195	497
508	196	497
509	196	496
510	196	495
511	197	495
512	197	495
513	197	494
514	198	494
515	198	493
516	199	494
517	199	493
518	199	493
519	200	493
520	200	492
521	200	492
522	201	492
523	202	492
524	202	492
525	203	491
526	203	491
527	203	490
528	204	490
529	204	490
530	205	490
531	205	490
532	206	489
533	206	489
534	206	489
535	207	488
536	207	488
537	208	488
538	208	487
539	208	487
540	209	486
541	209	486
542	210	486
543	210	486
544	210	485
545	211	485
546	212	486
547	212	486
548	213	485
549	213	485
550	214	485
551	214	484
552	214	484
553	215	483
554	215	483
555	215	482
556	216	482
557	216	482
558	217	483
559	218	483
560	218	483
561	219	482
562	219	482
563	219	481
564	220	481
565	220	480
566	221	481
567	221	481
568	222	481
569	222	480
570	223	480
571	223	479
572	223	479
573	224	478
574	224	478
575	224	477
576	225	477
577	225	476
578	225	476
579	226	476
580	226	476
581	227	475
582	227	475
583	228	476
584	228	475
585	229	475
586	230	475
587	230	475
588	230	474
589	231	475
590	232	474
591	232	474
592	232	474
593	233	473
594	233	473
595	234	472
596	234	472
597	234	472
598	235	471
599	235	470
600	235	470
601	236	470
602	236	470
603	237	470
604	237	469
605	238	469
606	238	468
607	238	468
608	239	467
609	240	468
610	241	469
611	241	469
612	242	469
613	243	469
614	243	469
615	243	468
616	244	468
617	244	468
618	245	467
619	245	467
620	245	466
621	246	466
622	246	465
623	247	466
624	247	465
625	248	465
626	248	464
627	248	464
628	249	464
629	250	464
630	250	463
631	250	463
632	251	463
633	251	463
634	252	462
635	252	462
636	253	462
637	253	461
638	254	462
639	254	461
640	255	461
641	255	461
642	255	460
643	256	460
644	256	459
645	257	459
646	257	459
647	258	459
648	258	458
649	259	458
650	259	457
651	259	457
652	260	456
653	260	456
654	260	456
655	261	455
656	261	454
657	261	454
658	262	453
659	262	453
660	262	452
661	263	452
662	263	451
663	263	451
664	264	451
665	264	450
666	265	451
667	266	451
668	266	450
669	267	450
670	268	450
671	268	450
672	268	449
673	269	449
674	269	449
675	269	448
676	270	448
677	270	448
678	271	447
679	271	447
680	271	446
681	272	446
682	272	445
683	272	445
684	273	444
685	273	444
686	274	444
687	274	443
688	274	443
689	275	442
690	275	442
691	275	441
692	276	441
693	277	441
694	277	441
695	277	440
696	278	440
697	278	439
698	278	439
699	279	439
700	279	438
701	280	438
702	280	437
703	281	438
704	282	438
705	282	437
706	282	437
707	282	436
708	283	435
709	283	435
710	283	434
711	284	434
712	284	434
713	285	433
714	285	433
715	285	432
716	286	432
717	286	431
718	286	431
719	287	430
720	287	430
721	287	429
722	288	429
723	288	429
724	289	429
725	289	428
726	290	428
727	290	428
728	290	427
729	291	427
730	291	426
731	292	426
732	292	425
733	292	425
734	293	424
735	293	424
736	294	424
737	294	423
738	294	423
739	295	422
740	295	422
741	295	421
742	296	421
743	296	421
744	296	420
745	297	420
746	297	419
747	298	419
748	298	418
749	299	418
750	299	418
751	299	418
752	300	417
753	300	417
754	300	416
755	301	416
756	301	415
757	302	415
758	302	414
759	302	414
760	303	414
761	303	413
762	304	413
763	304	413
764	304	412
765	305	412
766	305	411
767	305	411
768	306	410
769	306	410
770	307	410
771	307	409
772	307	409
773	308	408
774	308	408
775	309	407
776	309	407
777	309	407
778	310	406
779	310	406
780	311	406
781	311	405
782	311	404
783	312	404
784	312	404
785	312	403
786	313	403
787	313	402
788	313	402
789	314	401
790	314	401
791	314	400
792	315	400
793	315	399
